;nome;total_reclamacoes;indice;total_clientes;satisfacao_geral;satisfacao_remuneracao_beneficios;segmento
125;GERENCIANET;123;0.0;309377.75;;;
126;GM;200;0.0;136147.0;;;
127;GRANITO INSTITUIÇÃO DE PAGAMENTO S.A.;17;0.0;30.0;;;
128;GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;1;0.0;32555.0;;;
129;GREEN NET INSTITUIÇÃO DE PAGAMENTO LTDA;1;0.0;0.0;;;
130;GRUPO BONSUCESSO - BS2;1996;173.23;363067.57;;;
131;GRUPO ZEMA;88;0.0;282596.29;;;
132;HERVAL - HS;83;0.0;119892.29;;;
133;HONDA;134;0.0;222722.57;;;S4
134;HUB INSTITUIÇÃO DE PAGAMENTO S.A.;206;1.63;10478677.0;;;
135;HUB PAGAMENTOS S.A;75;0.0;2774313.5;;;
136;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;3;0.0;104.0;;;
137;INDUSTRIAL DO BRASIL;215;0.0;38294.86;;;S4
138;INDUSVAL;4;0.0;0.0;;;S4
139;INTER;13157;61.21;10955237.57;;;
140;ITAU;43280;15.29;53734275.14;4.5;4.6;S1
141;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;48;0.0;1439.0;;;
142;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;70;0.0;33138.0;;;
143;JP MORGAN CHASE;9;0.0;1925.25;4.05;3.9;S3
144;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11;0.0;321873.0;;;
145;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;41;0.0;169478.71;;;
146;LECCA;28;0.0;7286.0;;;S4
147;LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;22;0.0;26226.33;;;
148;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;72;0.0;408509.0;;;
149;MAG INSTITUICAO DE PAGAMENTO LTDA;1;0.0;0.0;;;
150;MASTER;1625;905.5;158640.33;;;
151;MERCADO CRÉDITO;8223;14.45;23673549.5;;;
152;MERCANTIL DO BRASIL;4168;79.87;2909217.71;;;S3
153;MERCEDES-BENZ;35;0.0;11150.0;4.1;4.0;S3
154;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1229;2.84;5780913.0;;;
155;MODAL;525;3.6;944923.29;;;
156;MÁXIMA;119;568.89;0.0;;;S4
157;NACIONAL;1;0.0;61.0;;;
158;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;25;0.0;305814.67;;;
159;NEON;1406;156.16;10928067.0;;;
160;NEON PAGAMENTOS S.A.;365;324.25;647641.0;;;
161;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;332;0.0;176993.71;;;
162;NUBANK;7284;4.22;34090771.14;;;
163;OMNI;1010;2.45;2715570.29;;;S4
164;ORIGINAL;10168;37.84;23443863.86;3.8;4.0;S3
165;PAGBANK-PAGSEGURO;5444;10.56;14102399.71;;;
166;PAGUEVELOZ INSTITUIÇÃO DE PAGAMENTO LTDA.;34;0.0;0.0;;;
167;PAN;3953;245.28;0.0;4.4;4.6;S3
168;PARANÁ BANCO;2115;99.77;296900.86;;;
169;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;460;4387.74;27155.0;;;
170;PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA;466;53.11;5376959.5;;;
171;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1164;13.06;4737472.14;;;
172;PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.;2;0.0;0.0;;;
173;PINE;29;0.0;27919.14;3.8;3.9;S3
174;PORTO SEGURO;1839;32.5;1780249.71;;;S4
175;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;462;40.88;86843.86;;;
176;QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;48;0.0;452785.33;;;
177;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;621;0.0;3184915.71;;;
178;RECARGAPAY;314;4.88;5091313.0;;;
179;RENDIMENTO;134;0.0;132172.29;;;S4
180;REPOM S.A.;17;0.0;268078.5;;;
181;RODOBENS;57;0.0;11397.29;;;S4
182;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2;0.0;8601.0;;;
183;SAFRA;9914;112.61;3154360.57;3.5;3.8;S2
184;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7;0.0;0.0;;;
185;SANTANDER;45423;27.28;33978794.29;3.9;4.0;S1
186;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;23;0.0;6859.6;;;
187;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;8;0.0;0.0;;;
188;SCANIA;2;0.0;5346.5;;;S4
189;SENFF;52;0.0;310367.67;;;
190;SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;9;0.0;28015.5;;;
191;SHPP BRASIL INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS DE PAGAMENTOS LTDA.;90;0.0;0.0;;;
192;SICREDI;18;0.0;3520909.83;4.4;4.1;S3
193;SIMPALA;5;0.0;1917.5;;;
194;SINOSSERRA;4;0.0;4934.0;;;
195;SOCIAL BANK BANCO MÚLTIPLO S/A;43;0.0;1308.33;;;
196;SOCIAL BANK INSTITUIÇÃO DE PAGAMENTO S.A;7;0.0;292123.0;;;
197;SOCIETE GENERALE;6;0.0;227.0;3.7;3.3;S3
198;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;143;0.0;1298.0;;;
199;SOFISA;498;39.73;308846.14;;;S4
200;SOROCRED;362;0.0;274175.83;;;
201;STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;1;0.0;771.0;;;
202;STATE STREET BRASIL S.A. - BANCO COMERCIAL;1;0.0;1.0;;;
203;STONE;1254;36.82;2347590.0;;;
204;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA;4;0.0;74.0;;;
205;SUMUP;22;0.0;56.5;;;
206;TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2;0.0;141.0;;;
207;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3;0.0;24774.0;;;
208;U4C INSTITUIÇÃO DE PAGAMENTO S.A.;7;0.0;0.0;;;
