Segmento	CNPJ	Nome
S4	33923111	BROOKFIELD
S4	17904906	BRX CC LTDA.
S4	10694628	C H B - CIA HIPOT. BRASILEIRA
S4	33466988	CAIXA GERAL - PRUDENCIAL
S4	14652687	CAMBIALL CASH CC LTDA.
S4	14190547	CAMBIONET CC LTDA
S4	62237649	CAROL DTVM LTDA.
S4	9313766	CARUANA SCFI
S4	15761217	CC A�ORIANA LTDA.
S4	4243780	CENTRAL DAS COOPERATIVAS DE CRÉDITO DO BRASIL CENTRAL, AMAZONAS OCIDENTAL E MUNIC�PIO DE UB�
S4	62931522	CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP
S4	106180	CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL
S4	3618104	CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL
S4	5036532	CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB
S4	309024	CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE
S4	692214	CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL
S4	1634601	CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS
S4	18539102	CHG-MERIDIAN DO BRASIL AM S.A.
S4	16657210	CHLOE DTVM LTDA.
S4	2685483	CM CAPITAL MARKETS
S4	53263331	COBANSA CH S.A.
S4	9512542	CODEPE CVC S.A.
S4	336036	COINVALORES
S4	460065	COLUNA S.A. DTVM
S4	23522214	COMMERZBANK BRASIL - PRUDENCIAL
S4	87091716	COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO
S4	52904364	CONCORDIA SA CVMC COMMODITIES
S4	18287740	CONECTA CC LTDA
S4	17635177	CONEXION CC LTDA.
S4	10398952	CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS DE CREDITO E ECONOMIA FAMILIAR E SOLIDARIA - CONFESOL
S4	315557	CONFEDERA��O NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED'S - UNICRED DO BRASIL
S4	11703662	CONFIDENCE - PRUDENCIAL
S4	15168152	CONSEGTUR CC LTDA
S4	95424891	COOPERATIVA   DE   CRÉDITO   DE  LIVRE  ADMISSÃO  DE  ASSOCIADOS DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS
S4	34148882	COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA - SICOOB CENTRAL BA
S4	33416108	COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA
S4	33737818	COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL
S4	25683434	COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS
S4	80160260	COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS
S4	33667205	COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE
S4	32428294	COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES
S4	63917579	COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO
S4	3502131	COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE
S4	70119680	COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE � CENTRAL SICREDI NORTE/NORDESTE
S4	14568725	COOPERATIVA CENTRAL DE CRÉDITO DO RIO DE JANEIRO LTDA.
S4	4632856	COOPERATIVA CENTRAL DE CRÉDITO NOROESTE BRASILEIRO LTDA.
S4	21198087	COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERA��O SOLID�RIA   CENTRAL CRESOL SICOPER
S4	1401771	COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERA��O SOLID�RIA - CENTRAL CRESOL BASER
S4	7202627	COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERA��O SOLID�RIA - CRESOL CENTRAL SC/RS
S4	5463212	COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED
S4	543968	COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED�S DE SANTA CATARINA E DO PARANÁ LTDA � UNICRED CENTRAL SC/PR
S4	73085573	COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DE SÃO PAULO - UNICRED CENTRAL SP
